iter	Passed	Remaining
0	11	22560
1	20	20216
2	29	19362
3	37	18929
4	45	17969
5	51	17057
6	57	16391
7	63	15854
8	69	15462
9	76	15187
10	82	14901
11	88	14674
12	94	14500
13	101	14335
14	107	14225
15	113	14111
16	119	13988
17	126	13893
18	132	13810
19	138	13742
20	145	13683
21	151	13619
22	157	13564
23	164	13532
24	170	13473
25	176	13424
26	183	13387
27	189	13354
28	195	13307
29	202	13267
30	208	13235
31	214	13220
32	221	13184
33	227	13159
34	234	13141
35	240	13114
36	246	13090
37	252	13059
38	259	13060
39	266	13063
40	273	13045
41	279	13021
42	285	12997
43	291	12979
44	298	12966
45	304	12952
46	311	12934
47	317	12917
48	327	13020
49	333	13015
50	340	12993
51	347	13025
52	354	13026
53	361	13030
54	368	13027
55	374	13002
56	380	12985
57	387	12961
58	393	12937
59	403	13044
60	409	13030
61	417	13042
62	423	13029
63	430	13017
64	436	12999
65	443	12987
66	449	12977
67	455	12952
68	462	12932
69	469	12932
70	475	12911
71	481	12894
72	487	12880
73	494	12863
74	500	12852
75	507	12836
76	513	12822
77	519	12806
78	526	12792
79	532	12778
80	538	12763
81	545	12749
82	551	12734
83	557	12720
84	564	12707
85	570	12696
86	576	12681
87	583	12671
88	589	12657
89	595	12646
90	602	12638
91	608	12629
92	615	12620
93	621	12611
94	628	12600
95	634	12586
96	641	12575
97	647	12563
98	653	12552
99	659	12538
100	666	12526
101	672	12515
102	679	12506
103	685	12493
104	691	12480
105	698	12472
106	704	12472
107	711	12469
108	718	12459
109	724	12451
110	731	12441
111	737	12431
112	743	12418
113	750	12411
114	756	12403
115	763	12395
116	769	12384
117	775	12372
118	782	12365
119	789	12363
120	795	12350
121	801	12338
122	807	12327
123	814	12317
124	820	12306
125	826	12294
126	833	12285
127	839	12274
128	845	12268
129	852	12257
130	858	12250
131	865	12241
132	871	12233
133	878	12228
134	884	12223
135	891	12213
136	897	12206
137	903	12195
138	910	12184
139	916	12175
140	922	12165
141	929	12158
142	935	12146
143	941	12136
144	948	12129
145	954	12119
146	960	12111
147	967	12103
148	973	12093
149	979	12081
150	986	12076
151	993	12073
152	999	12067
153	1006	12059
154	1012	12050
155	1018	12042
156	1025	12034
157	1031	12028
158	1038	12021
159	1044	12015
160	1051	12007
161	1058	12004
162	1064	11998
163	1071	11991
164	1077	11981
165	1083	11972
166	1090	11965
167	1096	11957
168	1103	11950
169	1109	11945
170	1116	11940
171	1122	11931
172	1129	11923
173	1135	11916
174	1141	11907
175	1148	11898
176	1154	11888
177	1160	11882
178	1167	11875
179	1173	11869
180	1180	11861
181	1186	11854
182	1193	11848
183	1200	11844
184	1206	11835
185	1212	11828
186	1219	11819
187	1225	11812
188	1231	11804
189	1238	11794
190	1244	11788
191	1251	11782
192	1257	11775
193	1264	11768
194	1270	11757
195	1276	11748
196	1282	11741
197	1289	11735
198	1295	11727
199	1302	11721
200	1309	11716
201	1315	11708
202	1321	11701
203	1328	11697
204	1334	11687
205	1341	11678
206	1347	11672
207	1354	11667
208	1360	11659
209	1366	11651
210	1373	11646
211	1379	11637
212	1386	11631
213	1392	11623
214	1399	11616
215	1405	11608
216	1411	11601
217	1418	11593
218	1424	11585
219	1431	11578
220	1437	11572
221	1444	11566
222	1450	11559
223	1456	11550
224	1463	11543
225	1469	11537
226	1476	11531
227	1482	11525
228	1489	11519
229	1496	11513
230	1500	11491
231	1507	11484
232	1513	11477
233	1520	11476
234	1527	11471
235	1534	11466
236	1540	11459
237	1547	11453
238	1553	11446
239	1560	11440
240	1566	11431
241	1572	11425
242	1579	11419
243	1585	11411
244	1591	11402
245	1598	11394
246	1604	11387
247	1610	11380
248	1617	11372
249	1623	11365
250	1629	11357
251	1636	11349
252	1642	11342
253	1648	11335
254	1655	11326
255	1661	11320
256	1667	11305
257	1673	11298
258	1679	11290
259	1685	11281
260	1692	11275
261	1698	11269
262	1705	11263
263	1711	11256
264	1718	11248
265	1724	11240
266	1730	11232
267	1736	11225
268	1742	11215
269	1749	11207
270	1755	11199
271	1761	11192
272	1767	11183
273	1774	11176
274	1780	11167
275	1786	11158
276	1792	11150
277	1799	11143
278	1805	11136
279	1811	11127
280	1817	11119
281	1824	11114
282	1830	11107
283	1836	11097
284	1842	11089
285	1849	11081
286	1855	11072
287	1861	11064
288	1867	11056
289	1873	11049
290	1880	11042
291	1886	11036
292	1893	11028
293	1899	11022
294	1905	11015
295	1912	11008
296	1918	11000
297	1924	10994
298	1931	10987
299	1937	10979
300	1943	10970
301	1949	10963
302	1956	10956
303	1962	10948
304	1968	10941
305	1975	10934
306	1981	10927
307	1987	10919
308	1993	10911
309	1999	10902
310	2006	10895
311	2012	10887
312	2018	10881
313	2025	10873
314	2031	10865
315	2037	10858
316	2043	10848
317	2049	10841
318	2055	10834
319	2062	10828
320	2068	10821
321	2074	10813
322	2079	10796
323	2085	10790
324	2091	10781
325	2098	10774
326	2104	10767
327	2111	10763
328	2117	10755
329	2123	10747
330	2130	10740
331	2136	10733
332	2142	10726
333	2148	10718
334	2154	10710
335	2161	10703
336	2167	10695
337	2173	10688
338	2180	10681
339	2186	10675
340	2192	10668
341	2199	10660
342	2205	10653
343	2211	10646
344	2218	10640
345	2224	10633
346	2230	10624
347	2236	10617
348	2242	10610
349	2249	10603
350	2255	10596
351	2261	10590
352	2268	10582
353	2274	10575
354	2280	10567
355	2286	10559
356	2292	10552
357	2299	10546
358	2305	10539
359	2312	10533
360	2318	10527
